##Databases: Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
sequence-specific DNA binding	Gene Ontology	GO:0043565	31	154	1.63459916903e-06	0.00505744982899	ENSG00000137270|ENSG00000186051|ENSG00000064195|ENSG00000135903|ENSG00000189299|ENSG00000142945|ENSG00000107807|ENSG00000135638|ENSG00000162992|ENSG00000128709|ENSG00000107187|ENSG00000196767|ENSG00000165066|ENSG00000253293|ENSG00000197587|ENSG00000229544|ENSG00000137203|ENSG00000106462|ENSG00000008196|ENSG00000221818|ENSG00000164093|ENSG00000078399|ENSG00000111206|ENSG00000182111|ENSG00000173253|ENSG00000128710|ENSG00000128610|ENSG00000260428|ENSG00000133937|ENSG00000197472|ENSG00000180318	http://amigo.geneontology.org/amigo/term/GO:0043565
ion transmembrane transporter activity	Gene Ontology	GO:0015075	30	162	1.01385514449e-05	0.0107819591878	ENSG00000174502|ENSG00000089356|ENSG00000132677|ENSG00000149452|ENSG00000160678|ENSG00000205359|ENSG00000197891|ENSG00000215262|ENSG00000131055|ENSG00000129991|ENSG00000126562|ENSG00000008735|ENSG00000183454|ENSG00000139155|ENSG00000225697|ENSG00000142319|ENSG00000182963|ENSG00000169760|ENSG00000164418|ENSG00000080644|ENSG00000114923|ENSG00000151834|ENSG00000187848|ENSG00000170290|ENSG00000183185|ENSG00000082482|ENSG00000160471|ENSG00000070729|ENSG00000198569|ENSG00000164794	http://amigo.geneontology.org/amigo/term/GO:0015075
developmental process	Gene Ontology	GO:0032502	105	935	1.04543883527e-05	0.0107819591878	ENSG00000227234|ENSG00000165682|ENSG00000145536|ENSG00000187908|ENSG00000179580|ENSG00000145920|ENSG00000134640|ENSG00000120210|ENSG00000147509|ENSG00000117600|ENSG00000143195|ENSG00000196767|ENSG00000182010|ENSG00000254656|ENSG00000165643|ENSG00000102174|ENSG00000160973|ENSG00000133937|ENSG00000167612|ENSG00000111262|ENSG00000229544|ENSG00000171951|ENSG00000051341|ENSG00000128242|ENSG00000188620|ENSG00000144452|ENSG00000140873|ENSG00000138675|ENSG00000149021|ENSG00000114346|ENSG00000079112|ENSG00000169862|ENSG00000179059|ENSG00000104044|ENSG00000184486|ENSG00000161381|ENSG00000256463|ENSG00000182583|ENSG00000197106|ENSG00000161798|ENSG00000135355|ENSG00000164113|ENSG00000138778|ENSG00000178860|ENSG00000187166|ENSG00000178597|ENSG00000127928|ENSG00000223802|ENSG00000173404|ENSG00000117650|ENSG00000135902|ENSG00000221926|ENSG00000164509|ENSG00000162344|ENSG00000161800|ENSG00000008300|ENSG00000107807|ENSG00000198914|ENSG00000118432|ENSG00000109705|ENSG00000181019|ENSG00000118245|ENSG00000177238|ENSG00000146857|ENSG00000116132|ENSG00000159224|ENSG00000057149|ENSG00000140600|ENSG00000169760|ENSG00000169548|ENSG00000133317|ENSG00000107187|ENSG00000221818|ENSG00000152669|ENSG00000172789|ENSG00000078399|ENSG00000119614|ENSG00000112183|ENSG00000182667|ENSG00000173253|ENSG00000185686|ENSG00000154277|ENSG00000174607|ENSG00000064218|ENSG00000126778|ENSG00000115507|ENSG00000181408|ENSG00000090932|ENSG00000171502|ENSG00000125780|ENSG00000164651|ENSG00000008735|ENSG00000183091|ENSG00000172016|ENSG00000011332|ENSG00000146013|ENSG00000066279|ENSG00000112238|ENSG00000037965|ENSG00000066405|ENSG00000091129|ENSG00000177468|ENSG00000134253|ENSG00000165304|ENSG00000169258	http://amigo.geneontology.org/amigo/term/GO:0032502
tissue development	Gene Ontology	GO:0009888	39	262	4.75876622636e-05	0.0263177871736	ENSG00000060718|ENSG00000115297|ENSG00000102174|ENSG00000170312|ENSG00000115593|ENSG00000236424|ENSG00000175793|ENSG00000086991|ENSG00000006377|ENSG00000138798|ENSG00000184486|ENSG00000170819|ENSG00000138083|ENSG00000156535|ENSG00000128709|ENSG00000147509|ENSG00000163623|ENSG00000116035|ENSG00000163217|ENSG00000138136|ENSG00000177508|ENSG00000172238|ENSG00000170577|ENSG00000140807|ENSG00000221818|ENSG00000152669|ENSG00000109205|ENSG00000135443|ENSG00000069482|ENSG00000166396|ENSG00000206557|ENSG00000167755|ENSG00000082482|ENSG00000137868|ENSG00000176887|ENSG00000112280|ENSG00000147257|ENSG00000182389|ENSG00000179284	http://amigo.geneontology.org/amigo/term/GO:0009888
nervous system development	Gene Ontology	GO:0007399	47	341	4.77734559401e-05	0.0263177871736	ENSG00000178235|ENSG00000186051|ENSG00000145242|ENSG00000132164|ENSG00000123999|ENSG00000107984|ENSG00000114346|ENSG00000187323|ENSG00000078900|ENSG00000147571|ENSG00000188763|ENSG00000164778|ENSG00000204970|ENSG00000136943|ENSG00000154975|ENSG00000204624|ENSG00000008735|ENSG00000138798|ENSG00000156687|ENSG00000277586|ENSG00000168539|ENSG00000183454|ENSG00000133710|ENSG00000069482|ENSG00000159556|ENSG00000169783|ENSG00000118193|ENSG00000105880|ENSG00000154645|ENSG00000137203|ENSG00000169258|ENSG00000187957|ENSG00000188816|ENSG00000169297|ENSG00000172020|ENSG00000181449|ENSG00000008300|ENSG00000137825|ENSG00000102385|ENSG00000157766|ENSG00000176887|ENSG00000069011|ENSG00000104177|ENSG00000126778|ENSG00000110492|ENSG00000183873|ENSG00000127928	http://amigo.geneontology.org/amigo/term/GO:0007399
anterior/posterior pattern specification	Gene Ontology	GO:0009952	12	36	5.10364327865e-05	0.0263177871736	ENSG00000173253|ENSG00000180806|ENSG00000138083|ENSG00000128610|ENSG00000128714|ENSG00000162782|ENSG00000197757|ENSG00000090932|ENSG00000170689|ENSG00000147257|ENSG00000078399|ENSG00000196584	http://amigo.geneontology.org/amigo/term/GO:0009952
animal organ development	Gene Ontology	GO:0048513	62	504	7.08323240255e-05	0.0313078872193	ENSG00000129991|ENSG00000137273|ENSG00000187689|ENSG00000168757|ENSG00000197084|ENSG00000180818|ENSG00000116218|ENSG00000163623|ENSG00000162344|ENSG00000102174|ENSG00000055732|ENSG00000136943|ENSG00000273706|ENSG00000174697|ENSG00000123364|ENSG00000184486|ENSG00000138083|ENSG00000204335|ENSG00000147465|ENSG00000182389|ENSG00000237412|ENSG00000168779|ENSG00000145386|ENSG00000121454|ENSG00000159556|ENSG00000168267|ENSG00000102683|ENSG00000182963|ENSG00000121075|ENSG00000187323|ENSG00000170166|ENSG00000075702|ENSG00000164920|ENSG00000169059|ENSG00000165973|ENSG00000170162|ENSG00000121742|ENSG00000107831|ENSG00000221818|ENSG00000148795|ENSG00000167968|ENSG00000155966|ENSG00000164509|ENSG00000069482|ENSG00000115593|ENSG00000137745|ENSG00000115596|ENSG00000171243|ENSG00000181449|ENSG00000159217|ENSG00000165304|ENSG00000125820|ENSG00000189120|ENSG00000176884|ENSG00000256463|ENSG00000176887|ENSG00000147257|ENSG00000178882|ENSG00000118193|ENSG00000169297|ENSG00000029559|ENSG00000120068	http://amigo.geneontology.org/amigo/term/GO:0048513
regionalization	Gene Ontology	GO:0003002	14	52	8.79499605791e-05	0.0328093554512	ENSG00000163064|ENSG00000123364|ENSG00000112559|ENSG00000183072|ENSG00000128709|ENSG00000107187|ENSG00000128710|ENSG00000125820|ENSG00000005073|ENSG00000064218|ENSG00000128652|ENSG00000196584|ENSG00000138587|ENSG00000116035	http://amigo.geneontology.org/amigo/term/GO:0003002
system development	Gene Ontology	GO:0048731	79	700	0.000109568864692	0.0328093554512	ENSG00000137270|ENSG00000158815|ENSG00000146013|ENSG00000123999|ENSG00000043355|ENSG00000125780|ENSG00000054356|ENSG00000052850|ENSG00000077498|ENSG00000106128|ENSG00000125285|ENSG00000214513|ENSG00000175793|ENSG00000005073|ENSG00000205649|ENSG00000136943|ENSG00000016082|ENSG00000163217|ENSG00000167900|ENSG00000138798|ENSG00000266524|ENSG00000086991|ENSG00000183625|ENSG00000183091|ENSG00000178522|ENSG00000134323|ENSG00000138083|ENSG00000159184|ENSG00000147465|ENSG00000100625|ENSG00000154342|ENSG00000133710|ENSG00000168779|ENSG00000182040|ENSG00000129173|ENSG00000160224|ENSG00000138435|ENSG00000186895|ENSG00000160973|ENSG00000082684|ENSG00000116035|ENSG00000143195|ENSG00000196767|ENSG00000174343|ENSG00000180806|ENSG00000165606|ENSG00000164434|ENSG00000277586|ENSG00000091129|ENSG00000105173|ENSG00000228927|ENSG00000172238|ENSG00000167880|ENSG00000121454|ENSG00000105997|ENSG00000167968|ENSG00000176406|ENSG00000164093|ENSG00000064195|ENSG00000124664|ENSG00000004846|ENSG00000095752|ENSG00000135355|ENSG00000173253|ENSG00000172020|ENSG00000178597|ENSG00000167755|ENSG00000167612|ENSG00000132692|ENSG00000174607|ENSG00000063015|ENSG00000176887|ENSG00000178860|ENSG00000205922|ENSG00000118733|ENSG00000110492|ENSG00000172461|ENSG00000029559|ENSG00000081051	http://amigo.geneontology.org/amigo/term/GO:0048731
embryonic organ development	Gene Ontology	GO:0048568	17	76	0.000117127925015	0.0328093554512	ENSG00000107831|ENSG00000168505|ENSG00000134323|ENSG00000138083|ENSG00000105880|ENSG00000170166|ENSG00000075891|ENSG00000105997|ENSG00000214513|ENSG00000164778|ENSG00000128710|ENSG00000104313|ENSG00000164093|ENSG00000128652|ENSG00000115507|ENSG00000139445|ENSG00000242866	http://amigo.geneontology.org/amigo/term/GO:0048568
