##Databases: Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
DNA-binding transcription factor activity, RNA polymerase II-specific	Gene Ontology	GO:0000981	161	864	4.05489871256e-25	1.65237122537e-21	ENSG00000186051|ENSG00000106006|ENSG00000189299|ENSG00000078900|ENSG00000138795|ENSG00000170689|ENSG00000273706|ENSG00000120669|ENSG00000168875|ENSG00000159184|ENSG00000261787|ENSG00000176165|ENSG00000170166|ENSG00000183434|ENSG00000121454|ENSG00000157613|ENSG00000182968|ENSG00000180818|ENSG00000143194|ENSG00000156150|ENSG00000253293|ENSG00000164438|ENSG00000165643|ENSG00000008196|ENSG00000125820|ENSG00000160973|ENSG00000125285|ENSG00000176679|ENSG00000175879|ENSG00000181449|ENSG00000133937|ENSG00000126733|ENSG00000229544|ENSG00000256463|ENSG00000183072|ENSG00000104177|ENSG00000123388|ENSG00000129173|ENSG00000115297|ENSG00000168505|ENSG00000043355|ENSG00000105997|ENSG00000197757|ENSG00000214513|ENSG00000005073|ENSG00000165066|ENSG00000123364|ENSG00000006377|ENSG00000174963|ENSG00000184486|ENSG00000162992|ENSG00000159387|ENSG00000007968|ENSG00000075891|ENSG00000168267|ENSG00000121075|ENSG00000189120|ENSG00000163064|ENSG00000186487|ENSG00000131721|ENSG00000197587|ENSG00000196767|ENSG00000137203|ENSG00000135638|ENSG00000115844|ENSG00000124232|ENSG00000124664|ENSG00000069812|ENSG00000251493|ENSG00000129654|ENSG00000153779|ENSG00000101412|ENSG00000260428|ENSG00000123407|ENSG00000188620|ENSG00000180318|ENSG00000160224|ENSG00000178860|ENSG00000069011|ENSG00000128709|ENSG00000177551|ENSG00000016082|ENSG00000135903|ENSG00000188095|ENSG00000164778|ENSG00000107807|ENSG00000215612|ENSG00000198914|ENSG00000109705|ENSG00000185002|ENSG00000148704|ENSG00000268041|ENSG00000134323|ENSG00000064195|ENSG00000168779|ENSG00000116132|ENSG00000108813|ENSG00000159556|ENSG00000106038|ENSG00000196460|ENSG00000143006|ENSG00000116035|ENSG00000106031|ENSG00000165606|ENSG00000107187|ENSG00000130675|ENSG00000170577|ENSG00000120068|ENSG00000144355|ENSG00000221818|ENSG00000009709|ENSG00000172789|ENSG00000078399|ENSG00000119614|ENSG00000188816|ENSG00000173253|ENSG00000179772|ENSG00000163623|ENSG00000162624|ENSG00000064218|ENSG00000175832|ENSG00000126778|ENSG00000115507|ENSG00000137270|ENSG00000139800|ENSG00000137273|ENSG00000052850|ENSG00000164651|ENSG00000165462|ENSG00000217236|ENSG00000205922|ENSG00000128645|ENSG00000125816|ENSG00000100625|ENSG00000258873|ENSG00000176887|ENSG00000139445|ENSG00000203989|ENSG00000101057|ENSG00000167157|ENSG00000175329|ENSG00000180806|ENSG00000166049|ENSG00000105880|ENSG00000138136|ENSG00000177508|ENSG00000172238|ENSG00000037965|ENSG00000183770|ENSG00000164093|ENSG00000128652|ENSG00000177468|ENSG00000111206|ENSG00000169297|ENSG00000138083|ENSG00000128713|ENSG00000128710|ENSG00000128714|ENSG00000167771|ENSG00000213347|ENSG00000165891	http://amigo.geneontology.org/amigo/term/GO:0000981
nuclear chromatin	Gene Ontology	GO:0000790	162	905	1.13990617233e-23	2.32255882613e-20	ENSG00000186051|ENSG00000106006|ENSG00000189299|ENSG00000078900|ENSG00000051180|ENSG00000015413|ENSG00000154920|ENSG00000105011|ENSG00000170689|ENSG00000273706|ENSG00000120669|ENSG00000168875|ENSG00000159184|ENSG00000128709|ENSG00000176165|ENSG00000170166|ENSG00000183434|ENSG00000120210|ENSG00000121454|ENSG00000157613|ENSG00000182968|ENSG00000163623|ENSG00000156150|ENSG00000253293|ENSG00000164438|ENSG00000146670|ENSG00000165643|ENSG00000008196|ENSG00000125820|ENSG00000160973|ENSG00000125285|ENSG00000176679|ENSG00000175879|ENSG00000181449|ENSG00000133937|ENSG00000229544|ENSG00000183072|ENSG00000120068|ENSG00000129173|ENSG00000115297|ENSG00000168505|ENSG00000187166|ENSG00000105997|ENSG00000177414|ENSG00000197757|ENSG00000214513|ENSG00000179059|ENSG00000123364|ENSG00000006377|ENSG00000184486|ENSG00000162992|ENSG00000159387|ENSG00000007968|ENSG00000075891|ENSG00000168267|ENSG00000121075|ENSG00000189120|ENSG00000163064|ENSG00000186487|ENSG00000131721|ENSG00000196747|ENSG00000197587|ENSG00000137203|ENSG00000135638|ENSG00000115844|ENSG00000124232|ENSG00000124664|ENSG00000069812|ENSG00000251493|ENSG00000129654|ENSG00000153779|ENSG00000260428|ENSG00000159259|ENSG00000111247|ENSG00000123388|ENSG00000180318|ENSG00000176887|ENSG00000178860|ENSG00000069011|ENSG00000177551|ENSG00000016082|ENSG00000135903|ENSG00000188095|ENSG00000164778|ENSG00000107807|ENSG00000215612|ENSG00000198914|ENSG00000109705|ENSG00000185002|ENSG00000148704|ENSG00000134323|ENSG00000064195|ENSG00000168779|ENSG00000116132|ENSG00000108813|ENSG00000159556|ENSG00000106038|ENSG00000196460|ENSG00000143006|ENSG00000116035|ENSG00000106031|ENSG00000165606|ENSG00000107187|ENSG00000106462|ENSG00000130675|ENSG00000170577|ENSG00000144355|ENSG00000221818|ENSG00000009709|ENSG00000172789|ENSG00000078399|ENSG00000119614|ENSG00000188816|ENSG00000173253|ENSG00000181218|ENSG00000179772|ENSG00000162624|ENSG00000064218|ENSG00000175832|ENSG00000126778|ENSG00000115507|ENSG00000137270|ENSG00000196767|ENSG00000137273|ENSG00000052850|ENSG00000164651|ENSG00000165462|ENSG00000217236|ENSG00000205922|ENSG00000128645|ENSG00000125816|ENSG00000100625|ENSG00000258873|ENSG00000101412|ENSG00000011332|ENSG00000139445|ENSG00000203989|ENSG00000167157|ENSG00000175329|ENSG00000180806|ENSG00000165066|ENSG00000184357|ENSG00000105880|ENSG00000138136|ENSG00000177508|ENSG00000172238|ENSG00000037965|ENSG00000188620|ENSG00000183770|ENSG00000164093|ENSG00000128652|ENSG00000177468|ENSG00000111206|ENSG00000169297|ENSG00000138083|ENSG00000128713|ENSG00000180818|ENSG00000128710|ENSG00000128714|ENSG00000213347|ENSG00000165891|ENSG00000276043	http://amigo.geneontology.org/amigo/term/GO:0000790
sequence-specific double-stranded DNA binding	Gene Ontology	GO:1990837	114	551	4.68768977296e-21	6.36744527494e-18	ENSG00000106006|ENSG00000189299|ENSG00000138795|ENSG00000170689|ENSG00000273706|ENSG00000120669|ENSG00000168875|ENSG00000159184|ENSG00000128709|ENSG00000176165|ENSG00000170166|ENSG00000121454|ENSG00000157613|ENSG00000180818|ENSG00000156150|ENSG00000164920|ENSG00000253293|ENSG00000164438|ENSG00000008196|ENSG00000176679|ENSG00000175879|ENSG00000133937|ENSG00000123407|ENSG00000120068|ENSG00000129173|ENSG00000115297|ENSG00000168505|ENSG00000214513|ENSG00000005073|ENSG00000179059|ENSG00000123364|ENSG00000006377|ENSG00000174963|ENSG00000184486|ENSG00000162992|ENSG00000007968|ENSG00000168267|ENSG00000189120|ENSG00000163064|ENSG00000131721|ENSG00000197587|ENSG00000196767|ENSG00000137203|ENSG00000135638|ENSG00000115844|ENSG00000124664|ENSG00000069812|ENSG00000153779|ENSG00000123388|ENSG00000180318|ENSG00000101412|ENSG00000178860|ENSG00000069011|ENSG00000016082|ENSG00000135903|ENSG00000188095|ENSG00000164778|ENSG00000183072|ENSG00000215612|ENSG00000109705|ENSG00000148704|ENSG00000134323|ENSG00000064195|ENSG00000187772|ENSG00000108813|ENSG00000159556|ENSG00000106038|ENSG00000116035|ENSG00000106031|ENSG00000165606|ENSG00000130675|ENSG00000170577|ENSG00000144355|ENSG00000009709|ENSG00000078399|ENSG00000119614|ENSG00000188816|ENSG00000177551|ENSG00000162624|ENSG00000064218|ENSG00000175832|ENSG00000126778|ENSG00000115507|ENSG00000137270|ENSG00000139800|ENSG00000052850|ENSG00000164651|ENSG00000165462|ENSG00000217236|ENSG00000205922|ENSG00000128645|ENSG00000100625|ENSG00000258873|ENSG00000011332|ENSG00000101057|ENSG00000167157|ENSG00000175329|ENSG00000180806|ENSG00000165066|ENSG00000151789|ENSG00000105880|ENSG00000075891|ENSG00000177508|ENSG00000172238|ENSG00000037965|ENSG00000183770|ENSG00000164093|ENSG00000128652|ENSG00000177468|ENSG00000138083|ENSG00000128713|ENSG00000128710|ENSG00000128714|ENSG00000165891	http://amigo.geneontology.org/amigo/term/GO:1990837
chemical synaptic transmission	Gene Ontology	GO:0007268	51	247	3.94900082338e-10	3.76302027787e-07	ENSG00000128683|ENSG00000124493|ENSG00000173267|ENSG00000147571|ENSG00000198216|ENSG00000136750|ENSG00000179546|ENSG00000148408|ENSG00000138435|ENSG00000129990|ENSG00000103546|ENSG00000168959|ENSG00000149305|ENSG00000187730|ENSG00000157005|ENSG00000181072|ENSG00000183454|ENSG00000147246|ENSG00000182389|ENSG00000187714|ENSG00000179097|ENSG00000136928|ENSG00000134640|ENSG00000170835|ENSG00000182963|ENSG00000149403|ENSG00000169760|ENSG00000155980|ENSG00000120251|ENSG00000164418|ENSG00000082556|ENSG00000174343|ENSG00000080644|ENSG00000102287|ENSG00000168539|ENSG00000268089|ENSG00000105642|ENSG00000113327|ENSG00000171246|ENSG00000151834|ENSG00000112852|ENSG00000135902|ENSG00000166736|ENSG00000183185|ENSG00000111262|ENSG00000176884|ENSG00000147432|ENSG00000106236|ENSG00000146276|ENSG00000158887|ENSG00000011677	http://amigo.geneontology.org/amigo/term/GO:0007268
extracellular region	Gene Ontology	GO:0005576	198	1746	5.13477690311e-10	3.76302027787e-07	ENSG00000248329|ENSG00000167104|ENSG00000164932|ENSG00000147869|ENSG00000148346|ENSG00000174562|ENSG00000160678|ENSG00000145244|ENSG00000136943|ENSG00000164303|ENSG00000187908|ENSG00000138798|ENSG00000123999|ENSG00000181617|ENSG00000131050|ENSG00000166763|ENSG00000101446|ENSG00000156535|ENSG00000099953|ENSG00000171136|ENSG00000167749|ENSG00000186868|ENSG00000132031|ENSG00000133636|ENSG00000095752|ENSG00000102683|ENSG00000104899|ENSG00000184502|ENSG00000152583|ENSG00000075388|ENSG00000153292|ENSG00000147257|ENSG00000122711|ENSG00000241186|ENSG00000105664|ENSG00000140945|ENSG00000109205|ENSG00000159763|ENSG00000109208|ENSG00000069482|ENSG00000145708|ENSG00000118785|ENSG00000167751|ENSG00000188784|ENSG00000167755|ENSG00000137392|ENSG00000167759|ENSG00000143954|ENSG00000186191|ENSG00000168928|ENSG00000158516|ENSG00000169436|ENSG00000188056|ENSG00000101144|ENSG00000154040|ENSG00000178235|ENSG00000107317|ENSG00000138675|ENSG00000164283|ENSG00000147571|ENSG00000171388|ENSG00000204970|ENSG00000007038|ENSG00000126838|ENSG00000174697|ENSG00000110680|ENSG00000275896|ENSG00000156076|ENSG00000157005|ENSG00000160886|ENSG00000154342|ENSG00000161381|ENSG00000171819|ENSG00000169347|ENSG00000197273|ENSG00000114646|ENSG00000262406|ENSG00000147255|ENSG00000162670|ENSG00000125999|ENSG00000163217|ENSG00000131142|ENSG00000196748|ENSG00000196611|ENSG00000178522|ENSG00000182379|ENSG00000163993|ENSG00000178752|ENSG00000115596|ENSG00000204291|ENSG00000205649|ENSG00000179284|ENSG00000126550|ENSG00000164112|ENSG00000105697|ENSG00000096395|ENSG00000171864|ENSG00000133216|ENSG00000176956|ENSG00000226887|ENSG00000078898|ENSG00000186493|ENSG00000165197|ENSG00000259823|ENSG00000171502|ENSG00000162344|ENSG00000006016|ENSG00000007306|ENSG00000145681|ENSG00000158815|ENSG00000266200|ENSG00000136487|ENSG00000198183|ENSG00000115263|ENSG00000160339|ENSG00000120210|ENSG00000163295|ENSG00000181092|ENSG00000181552|ENSG00000135222|ENSG00000077522|ENSG00000057149|ENSG00000100604|ENSG00000186895|ENSG00000106236|ENSG00000104938|ENSG00000165973|ENSG00000114270|ENSG00000107831|ENSG00000129965|ENSG00000053108|ENSG00000171201|ENSG00000182667|ENSG00000134443|ENSG00000167941|ENSG00000168925|ENSG00000185888|ENSG00000166863|ENSG00000159224|ENSG00000132692|ENSG00000168843|ENSG00000102837|ENSG00000143125|ENSG00000100593|ENSG00000184374|ENSG00000167653|ENSG00000139915|ENSG00000168481|ENSG00000103888|ENSG00000110492|ENSG00000162745|ENSG00000029559|ENSG00000185674|ENSG00000060718|ENSG00000107984|ENSG00000164816|ENSG00000169550|ENSG00000124159|ENSG00000197565|ENSG00000175535|ENSG00000163735|ENSG00000171199|ENSG00000225366|ENSG00000110244|ENSG00000154096|ENSG00000113296|ENSG00000183317|ENSG00000142515|ENSG00000133710|ENSG00000172016|ENSG00000130032|ENSG00000101412|ENSG00000125815|ENSG00000183844|ENSG00000204140|ENSG00000187398|ENSG00000164822|ENSG00000114948|ENSG00000150551|ENSG00000139219|ENSG00000167968|ENSG00000091129|ENSG00000166670|ENSG00000143512|ENSG00000204983|ENSG00000215148|ENSG00000198074|ENSG00000122133|ENSG00000205755|ENSG00000135253|ENSG00000142748|ENSG00000157766|ENSG00000112280|ENSG00000263761|ENSG00000102854|ENSG00000170835|ENSG00000137745|ENSG00000172551	http://amigo.geneontology.org/amigo/term/GO:0005576
extracellular space	Gene Ontology	GO:0005615	171	1446	5.54064335393e-10	3.76302027787e-07	ENSG00000248329|ENSG00000197565|ENSG00000164932|ENSG00000147869|ENSG00000148346|ENSG00000105675|ENSG00000087250|ENSG00000130720|ENSG00000015413|ENSG00000175793|ENSG00000136943|ENSG00000187908|ENSG00000138798|ENSG00000165197|ENSG00000101441|ENSG00000185559|ENSG00000117983|ENSG00000106483|ENSG00000171502|ENSG00000127743|ENSG00000137251|ENSG00000095752|ENSG00000170835|ENSG00000104899|ENSG00000152583|ENSG00000075388|ENSG00000105664|ENSG00000006606|ENSG00000137558|ENSG00000106541|ENSG00000140945|ENSG00000172458|ENSG00000158270|ENSG00000171243|ENSG00000096088|ENSG00000162344|ENSG00000135443|ENSG00000069482|ENSG00000145708|ENSG00000118785|ENSG00000175426|ENSG00000172023|ENSG00000167755|ENSG00000167759|ENSG00000175874|ENSG00000187997|ENSG00000168928|ENSG00000158516|ENSG00000089199|ENSG00000169436|ENSG00000170044|ENSG00000101144|ENSG00000186458|ENSG00000107317|ENSG00000138675|ENSG00000149021|ENSG00000204866|ENSG00000147571|ENSG00000171388|ENSG00000174697|ENSG00000110680|ENSG00000186417|ENSG00000275896|ENSG00000164619|ENSG00000163377|ENSG00000157005|ENSG00000154342|ENSG00000171819|ENSG00000169347|ENSG00000263639|ENSG00000262406|ENSG00000185915|ENSG00000159763|ENSG00000102109|ENSG00000166897|ENSG00000163217|ENSG00000170369|ENSG00000136487|ENSG00000178752|ENSG00000115596|ENSG00000204291|ENSG00000112818|ENSG00000243902|ENSG00000179284|ENSG00000139219|ENSG00000156535|ENSG00000105697|ENSG00000135222|ENSG00000142789|ENSG00000178597|ENSG00000081051|ENSG00000223802|ENSG00000170373|ENSG00000123999|ENSG00000206073|ENSG00000259823|ENSG00000164816|ENSG00000173157|ENSG00000152377|ENSG00000219073|ENSG00000006016|ENSG00000143954|ENSG00000158815|ENSG00000163515|ENSG00000266200|ENSG00000198183|ENSG00000115263|ENSG00000118733|ENSG00000160339|ENSG00000181092|ENSG00000180305|ENSG00000057149|ENSG00000100604|ENSG00000186895|ENSG00000186897|ENSG00000184502|ENSG00000165973|ENSG00000147485|ENSG00000173702|ENSG00000114270|ENSG00000107831|ENSG00000166396|ENSG00000171201|ENSG00000241186|ENSG00000134443|ENSG00000167941|ENSG00000168925|ENSG00000166863|ENSG00000159224|ENSG00000102837|ENSG00000007038|ENSG00000181562|ENSG00000184374|ENSG00000131142|ENSG00000188293|ENSG00000029559|ENSG00000198759|ENSG00000114204|ENSG00000060718|ENSG00000107984|ENSG00000177359|ENSG00000124490|ENSG00000215182|ENSG00000175535|ENSG00000163735|ENSG00000171199|ENSG00000110244|ENSG00000266524|ENSG00000113296|ENSG00000142515|ENSG00000091704|ENSG00000172016|ENSG00000101412|ENSG00000169783|ENSG00000164822|ENSG00000115386|ENSG00000237412|ENSG00000108602|ENSG00000104371|ENSG00000188162|ENSG00000166670|ENSG00000204983|ENSG00000142748|ENSG00000189377|ENSG00000112280|ENSG00000124935|ENSG00000263761|ENSG00000102854|ENSG00000124939|ENSG00000137745|ENSG00000109205	http://amigo.geneontology.org/amigo/term/GO:0005615
DNA-binding transcription activator activity, RNA polymerase II-specific	Gene Ontology	GO:0001228	73	461	3.1832530796e-09	1.85310804277e-06	ENSG00000137270|ENSG00000115297|ENSG00000138795|ENSG00000168505|ENSG00000164438|ENSG00000205922|ENSG00000170166|ENSG00000253293|ENSG00000180818|ENSG00000078900|ENSG00000188095|ENSG00000177551|ENSG00000128652|ENSG00000128710|ENSG00000107807|ENSG00000198914|ENSG00000016082|ENSG00000123364|ENSG00000185002|ENSG00000007968|ENSG00000120669|ENSG00000184486|ENSG00000134323|ENSG00000162992|ENSG00000100625|ENSG00000183072|ENSG00000159387|ENSG00000116132|ENSG00000121454|ENSG00000116017|ENSG00000160224|ENSG00000168267|ENSG00000157613|ENSG00000121075|ENSG00000182968|ENSG00000107187|ENSG00000101057|ENSG00000196767|ENSG00000165066|ENSG00000105880|ENSG00000175879|ENSG00000137203|ENSG00000172238|ENSG00000165643|ENSG00000008196|ENSG00000170577|ENSG00000221818|ENSG00000115844|ENSG00000160973|ENSG00000124232|ENSG00000078399|ENSG00000064195|ENSG00000153266|ENSG00000125285|ENSG00000052850|ENSG00000138083|ENSG00000173253|ENSG00000251493|ENSG00000181449|ENSG00000129654|ENSG00000128714|ENSG00000260428|ENSG00000149948|ENSG00000183770|ENSG00000180318|ENSG00000176887|ENSG00000125820|ENSG00000069011|ENSG00000175832|ENSG00000126778|ENSG00000115507|ENSG00000137273|ENSG00000123388	http://amigo.geneontology.org/amigo/term/GO:0001228
embryonic skeletal system morphogenesis	Gene Ontology	GO:0048704	19	43	9.91138674147e-09	5.04861262144e-06	ENSG00000060718|ENSG00000106006|ENSG00000180806|ENSG00000164920|ENSG00000112559|ENSG00000180318|ENSG00000133937|ENSG00000128709|ENSG00000052850|ENSG00000105997|ENSG00000128710|ENSG00000078399|ENSG00000176887|ENSG00000170689|ENSG00000126778|ENSG00000128652|ENSG00000170166|ENSG00000120068|ENSG00000104313	http://amigo.geneontology.org/amigo/term/GO:0048704
anterior/posterior pattern specification	Gene Ontology	GO:0009952	28	98	1.14604633298e-08	5.18904311876e-06	ENSG00000106006|ENSG00000147869|ENSG00000052850|ENSG00000105997|ENSG00000197757|ENSG00000128652|ENSG00000005073|ENSG00000170689|ENSG00000273706|ENSG00000225366|ENSG00000123364|ENSG00000162992|ENSG00000128709|ENSG00000170166|ENSG00000180818|ENSG00000180806|ENSG00000253293|ENSG00000037965|ENSG00000172789|ENSG00000078399|ENSG00000069812|ENSG00000241186|ENSG00000128710|ENSG00000128714|ENSG00000123388|ENSG00000180318|ENSG00000115507|ENSG00000120068	http://amigo.geneontology.org/amigo/term/GO:0009952
regulation of membrane potential	Gene Ontology	GO:0042391	28	99	1.37810805381e-08	5.61579031929e-06	ENSG00000135902|ENSG00000138435|ENSG00000140015|ENSG00000176884|ENSG00000187730|ENSG00000132429|ENSG00000077522|ENSG00000174343|ENSG00000173826|ENSG00000080644|ENSG00000102287|ENSG00000268089|ENSG00000169006|ENSG00000163377|ENSG00000055118|ENSG00000113327|ENSG00000176406|ENSG00000004846|ENSG00000151834|ENSG00000099822|ENSG00000166736|ENSG00000183185|ENSG00000111262|ENSG00000149305|ENSG00000147432|ENSG00000110881|ENSG00000146276|ENSG00000011677	http://amigo.geneontology.org/amigo/term/GO:0042391
