##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Neuroactive ligand-receptor interaction	KEGG PATHWAY	hsa04080	69	338	5.24144200718e-13	1.3837406899e-10	ENSG00000162009|ENSG00000184160|ENSG00000135902|ENSG00000124493|ENSG00000102195|ENSG00000183185|ENSG00000113327|ENSG00000118432|ENSG00000106128|ENSG00000056291|ENSG00000119973|ENSG00000179546|ENSG00000138435|ENSG00000120088|ENSG00000174697|ENSG00000110680|ENSG00000275896|ENSG00000168959|ENSG00000176884|ENSG00000126010|ENSG00000186912|ENSG00000157005|ENSG00000181072|ENSG00000145040|ENSG00000183454|ENSG00000147246|ENSG00000173080|ENSG00000179097|ENSG00000136928|ENSG00000134640|ENSG00000116014|ENSG00000133636|ENSG00000110148|ENSG00000204983|ENSG00000171388|ENSG00000171136|ENSG00000102287|ENSG00000187848|ENSG00000120251|ENSG00000164418|ENSG00000082556|ENSG00000174343|ENSG00000080644|ENSG00000102239|ENSG00000168539|ENSG00000268089|ENSG00000169006|ENSG00000187730|ENSG00000147571|ENSG00000144407|ENSG00000149403|ENSG00000069482|ENSG00000136487|ENSG00000151834|ENSG00000178623|ENSG00000134443|ENSG00000180772|ENSG00000166863|ENSG00000159224|ENSG00000278195|ENSG00000112164|ENSG00000096395|ENSG00000115263|ENSG00000147432|ENSG00000115353|ENSG00000146276|ENSG00000100739|ENSG00000011677|ENSG00000181408	http://www.genome.jp/kegg-bin/show_pathway?hsa04080/hsa:200959%09red/hsa:9568%09red/hsa:22953%09red/hsa:3952%09red/hsa:23620%09red/hsa:117579%09red/hsa:2903%09red/hsa:152%09red/hsa:2564%09red/hsa:1134%09red/hsa:623%09red/hsa:1136%09red/hsa:2837%09red/hsa:887%09red/hsa:2902%09red/hsa:90226%09red/hsa:2925%09red/hsa:1392%09red/hsa:1394%09red/hsa:680%09red/hsa:2689%09red/hsa:5746%09red/hsa:2566%09red/hsa:2740%09red/hsa:10886%09red/hsa:3352%09red/hsa:4544%09red/hsa:2914%09red/hsa:3355%09red/hsa:2922%09red/hsa:3358%09red/hsa:2695%09red/hsa:5645%09red/hsa:5644%09red/hsa:1268%09red/hsa:6869%09red/hsa:2563%09red/hsa:2898%09red/hsa:5030%09red/hsa:339403%09red/hsa:6866%09red/hsa:51083%09red/hsa:2891%09red/hsa:2641%09red/hsa:84634%09red/hsa:55879%09red/hsa:1128%09red/hsa:1129%09red/hsa:2569%09red/hsa:2834%09red/hsa:4295%09red/hsa:186%09red/hsa:2915%09red/hsa:6750%09red/hsa:1144%09red/hsa:2859%09red/hsa:6753%09red/hsa:55584%09red/hsa:6755%09red/hsa:796%09red/hsa:4986%09red/hsa:1142%09red/hsa:2692%09red/hsa:2900%09red/hsa:8862%09red/hsa:2555%09red/hsa:2556%09red/hsa:9248%09red/hsa:4922%09red
Cell cycle	KEGG PATHWAY	hsa04110	24	124	4.07537044374e-05	0.00537948898574	ENSG00000170312|ENSG00000117399|ENSG00000169679|ENSG00000158402|ENSG00000175793|ENSG00000164611|ENSG00000127564|ENSG00000166851|ENSG00000077935|ENSG00000157456|ENSG00000147889|ENSG00000145386|ENSG00000007968|ENSG00000093009|ENSG00000073111|ENSG00000105173|ENSG00000156970|ENSG00000091651|ENSG00000085840|ENSG00000112742|ENSG00000101412|ENSG00000123080|ENSG00000094804|ENSG00000134057	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:983%09red/hsa:9088%09red/hsa:701%09red/hsa:5347%09red/hsa:1029%09red/hsa:8318%09red/hsa:4998%09red/hsa:1031%09red/hsa:1870%09red/hsa:9133%09red/hsa:991%09red/hsa:990%09red/hsa:995%09red/hsa:891%09red/hsa:898%09red/hsa:27127%09red/hsa:23594%09red/hsa:4171%09red/hsa:2810%09red/hsa:699%09red/hsa:7272%09red/hsa:9232%09red/hsa:1869%09red/hsa:890%09red
Nicotine addiction	KEGG PATHWAY	hsa05033	12	40	0.000118130853296	0.01039551509	ENSG00000187730|ENSG00000102287|ENSG00000268089|ENSG00000183454|ENSG00000183185|ENSG00000113327|ENSG00000176884|ENSG00000148408|ENSG00000146276|ENSG00000011677|ENSG00000151834|ENSG00000120251	http://www.genome.jp/kegg-bin/show_pathway?hsa05033/hsa:2566%09red/hsa:2564%09red/hsa:2563%09red/hsa:200959%09red/hsa:774%09red/hsa:2569%09red/hsa:55879%09red/hsa:2891%09red/hsa:2555%09red/hsa:2556%09red/hsa:2903%09red/hsa:2902%09red
GABAergic synapse	KEGG PATHWAY	hsa04727	18	89	0.000223924824649	0.0147790384269	ENSG00000187730|ENSG00000155897|ENSG00000102287|ENSG00000268089|ENSG00000183185|ENSG00000128683|ENSG00000168243|ENSG00000136928|ENSG00000136750|ENSG00000157542|ENSG00000132164|ENSG00000148408|ENSG00000146276|ENSG00000081248|ENSG00000113327|ENSG00000011677|ENSG00000127928|ENSG00000151834	http://www.genome.jp/kegg-bin/show_pathway?hsa04727/hsa:2566%09red/hsa:9568%09red/hsa:2564%09red/hsa:2563%09red/hsa:200959%09red/hsa:2572%09red/hsa:774%09red/hsa:6538%09red/hsa:2792%09red/hsa:2786%09red/hsa:2569%09red/hsa:55879%09red/hsa:2571%09red/hsa:114%09red/hsa:3763%09red/hsa:2556%09red/hsa:779%09red/hsa:2555%09red
Protein digestion and absorption	KEGG PATHWAY	hsa04974	17	90	0.000655033863907	0.0345857880143	ENSG00000060718|ENSG00000112818|ENSG00000171502|ENSG00000197565|ENSG00000168925|ENSG00000204291|ENSG00000091704|ENSG00000158516|ENSG00000275896|ENSG00000219073|ENSG00000139219|ENSG00000112280|ENSG00000169436|ENSG00000142789|ENSG00000114270|ENSG00000066230|ENSG00000204983	http://www.genome.jp/kegg-bin/show_pathway?hsa04974/hsa:1294%09red/hsa:1357%09red/hsa:1297%09red/hsa:1504%09red/hsa:1280%09red/hsa:169044%09red/hsa:10136%09red/hsa:1358%09red/hsa:4224%09red/hsa:23436%09red/hsa:1306%09red/hsa:5645%09red/hsa:255631%09red/hsa:1301%09red/hsa:1288%09red/hsa:6550%09red/hsa:5644%09red
Morphine addiction	KEGG PATHWAY	hsa05032	16	93	0.0021831037746	0.0960565660825	ENSG00000187730|ENSG00000155897|ENSG00000102287|ENSG00000268089|ENSG00000183185|ENSG00000168243|ENSG00000136928|ENSG00000162728|ENSG00000157542|ENSG00000148408|ENSG00000146276|ENSG00000154678|ENSG00000113327|ENSG00000011677|ENSG00000127928|ENSG00000151834	http://www.genome.jp/kegg-bin/show_pathway?hsa05032/hsa:2566%09red/hsa:9568%09red/hsa:2564%09red/hsa:2563%09red/hsa:200959%09red/hsa:5137%09red/hsa:774%09red/hsa:2792%09red/hsa:2786%09red/hsa:2569%09red/hsa:55879%09red/hsa:114%09red/hsa:3763%09red/hsa:2555%09red/hsa:2556%09red/hsa:3765%09red
Taste transduction	KEGG PATHWAY	hsa04742	14	82	0.00425346743827	0.160416486243	ENSG00000155897|ENSG00000124493|ENSG00000187848|ENSG00000166736|ENSG00000179097|ENSG00000136928|ENSG00000149305|ENSG00000179546|ENSG00000186912|ENSG00000154678|ENSG00000070985|ENSG00000011677|ENSG00000151834|ENSG00000166828	http://www.genome.jp/kegg-bin/show_pathway?hsa04742/hsa:29850%09red/hsa:9568%09red/hsa:22953%09red/hsa:5137%09red/hsa:5030%09red/hsa:6340%09red/hsa:3352%09red/hsa:2914%09red/hsa:3355%09red/hsa:114%09red/hsa:3359%09red/hsa:2556%09red/hsa:9177%09red/hsa:2555%09red
Retrograde endocannabinoid signaling	KEGG PATHWAY	hsa04723	19	141	0.00971927991085	0.320736237058	ENSG00000168959|ENSG00000187730|ENSG00000155897|ENSG00000102287|ENSG00000185633|ENSG00000268089|ENSG00000183185|ENSG00000168243|ENSG00000113327|ENSG00000162728|ENSG00000157542|ENSG00000081248|ENSG00000148408|ENSG00000146276|ENSG00000118432|ENSG00000011677|ENSG00000127928|ENSG00000151834|ENSG00000120251	http://www.genome.jp/kegg-bin/show_pathway?hsa04723/hsa:56901%09red/hsa:1268%09red/hsa:2564%09red/hsa:2563%09red/hsa:200959%09red/hsa:774%09red/hsa:2555%09red/hsa:2792%09red/hsa:2786%09red/hsa:2891%09red/hsa:55879%09red/hsa:2566%09red/hsa:2569%09red/hsa:114%09red/hsa:3763%09red/hsa:3765%09red/hsa:2556%09red/hsa:779%09red/hsa:2915%09red
Maturity onset diabetes of the young	KEGG PATHWAY	hsa04950	6	26	0.0171268034426	0.502386234317	ENSG00000162992|ENSG00000182759|ENSG00000130675|ENSG00000125820|ENSG00000185002|ENSG00000163623	http://www.genome.jp/kegg-bin/show_pathway?hsa04950/hsa:4821%09red/hsa:4825%09red/hsa:389692%09red/hsa:3110%09red/hsa:4760%09red/hsa:222546%09red
Cushing syndrome	KEGG PATHWAY	hsa04934	19	156	0.0232566890249	0.613976590257	ENSG00000111432|ENSG00000155897|ENSG00000100346|ENSG00000101412|ENSG00000147889|ENSG00000120088|ENSG00000154342|ENSG00000147571|ENSG00000082482|ENSG00000188763|ENSG00000007968|ENSG00000147465|ENSG00000081248|ENSG00000148795|ENSG00000105173|ENSG00000157613|ENSG00000138795|ENSG00000123080|ENSG00000115596	http://www.genome.jp/kegg-bin/show_pathway?hsa04934/hsa:11211%09red/hsa:7475%09red/hsa:1031%09red/hsa:6770%09red/hsa:89780%09red/hsa:51176%09red/hsa:779%09red/hsa:3776%09red/hsa:1029%09red/hsa:1870%09red/hsa:1392%09red/hsa:898%09red/hsa:114%09red/hsa:8911%09red/hsa:1869%09red/hsa:90993%09red/hsa:8326%09red/hsa:1586%09red/hsa:1394%09red
