logFC	logCPM	LR	PValue	FDR	change	ENSEMBL
ENSG00000130300	3.50333751917779	5.99063524531785	401.114082132046	3.15074902900434e-89	1.90582507266414e-84	UP	ENSG00000130300
ENSG00000136011	-4.25775849926191	1.39319568977711	381.502291798338	5.85990250635839e-85	1.77226891402303e-80	DOWN	ENSG00000136011
ENSG00000187730	5.12866928652364	1.30722671154076	367.891558427944	5.38605381910136e-82	1.08597207803268e-77	UP	ENSG00000187730
ENSG00000131097	3.73456121687814	-0.471801025781981	321.090876730916	8.38080845566049e-72	1.01387668373198e-67	UP	ENSG00000131097
ENSG00000182566	-4.90964323651797	2.42512910703758	313.6340581665	3.5284519212501e-70	3.04898571160823e-66	DOWN	ENSG00000182566
ENSG00000225697	3.27407891940019	3.92085010200132	312.999394630962	4.85106100030377e-70	3.66788722232968e-66	UP	ENSG00000225697
ENSG00000279484	-6.36516179330833	-1.81138894574856	307.37563048062	8.14579827333229e-69	4.47930041779385e-65	DOWN	ENSG00000279484
ENSG00000213347	3.35751797760315	2.72066425705069	295.712883070811	2.83016557584871e-66	1.22279325251383e-62	UP	ENSG00000213347
ENSG00000221818	5.73580107827928	-0.365862040874966	294.996520209882	4.05406989252415e-66	1.63481719772667e-62	UP	ENSG00000221818
ENSG00000164619	-3.88274473212714	0.140385433738229	278.968562068506	1.25998619943761e-62	4.2341136239768e-59	DOWN	ENSG00000164619
ENSG00000077152	3.92859052755166	2.57422712986462	273.205112629382	2.27187216792259e-61	6.54385731872866e-58	UP	ENSG00000077152
ENSG00000145708	-3.9293493909931	2.76458005512466	269.36924507752	1.55732811052025e-60	4.09563751083255e-57	DOWN	ENSG00000145708
ENSG00000225383	5.85529307271626	-2.33699806623721	265.409731162983	1.13597719703467e-59	2.74851954776933e-56	UP	ENSG00000225383
ENSG00000140945	3.0190941395685	2.59364961290336	259.906219389511	1.79869732419976e-58	4.18460014408443e-55	UP	ENSG00000140945
ENSG00000137135	3.66768226598805	1.80816665187117	258.19420010053	4.24758987301685e-58	9.17600772282297e-55	UP	ENSG00000137135
ENSG00000100526	4.62021012681327	2.57129967269687	256.970997795272	7.84839608744752e-58	1.63701304323285e-54	UP	ENSG00000100526
ENSG00000160339	-4.35441773047742	2.31246498070811	256.021007832417	1.26434825561e-57	2.54926324284459e-54	DOWN	ENSG00000160339
ENSG00000158402	5.01010423482767	1.63589442571331	255.436851339978	1.69514519940908e-57	3.20424821318301e-54	UP	ENSG00000158402
ENSG00000161888	4.14767625281971	2.90640708394358	254.670971494003	2.48978953665227e-57	4.56370877251583e-54	UP	ENSG00000161888
ENSG00000019169	-4.2581176877245	3.06468103127569	249.672555882902	3.06073431868383e-56	4.74712044791148e-53	DOWN	ENSG00000019169
ENSG00000142748	-3.56343472364279	3.81507056345564	245.087412543778	3.05822796635737e-55	4.11080207175611e-52	DOWN	ENSG00000142748
ENSG00000146670	4.16424972371507	3.09458891516063	244.822034751947	3.49405132321107e-55	4.59452557474764e-52	UP	ENSG00000146670
ENSG00000233542	4.615077465047	-2.71089472013784	242.567727380017	1.08352388762148e-54	1.36542068571767e-51	UP	ENSG00000233542
ENSG00000204291	4.45944153550873	3.9788949329877	242.471439043164	1.13718927440143e-54	1.40380213938763e-51	UP	ENSG00000204291
ENSG00000230733	3.26809980552491	2.63040296927391	241.441243132363	1.90745381464094e-54	2.30756132680003e-51	UP	ENSG00000230733
ENSG00000156509	4.73773593616733	-0.0340615763132216	237.255839872753	1.55980025313831e-53	1.71543995839691e-50	UP	ENSG00000156509
ENSG00000135451	4.96255249020411	2.6478537519987	236.629000751449	2.13675679178092e-53	2.30800258609364e-50	UP	ENSG00000135451
ENSG00000089685	4.82787811534995	4.03205835464459	236.386214361479	2.41377371375082e-53	2.56147972626946e-50	UP	ENSG00000089685
ENSG00000134057	4.0399985690981	3.88163748378369	236.296577844613	2.52489050979128e-53	2.63319960614233e-50	UP	ENSG00000134057
ENSG00000237649	4.55257744947593	3.41075030095861	234.427989873716	6.45224587353804e-53	6.39808931800933e-50	UP	ENSG00000237649
ENSG00000117724	4.72279559566014	4.08219798449859	234.254790448094	7.03849547873766e-53	6.86684700835296e-50	UP	ENSG00000117724
ENSG00000154839	5.19475397492446	1.86963383866461	233.588734689339	9.8338849465806e-53	9.29425051013699e-50	UP	ENSG00000154839
ENSG00000164611	4.39952480514046	3.47479682122736	233.46391782163	1.04699317438419e-52	9.74315740494628e-50	UP	ENSG00000164611
ENSG00000143228	5.00583573801566	2.20766444000722	233.347564074994	1.10998493888647e-52	1.01728437853583e-49	UP	ENSG00000143228
ENSG00000157456	4.50615212356465	2.80372467292462	231.535185192849	2.75771278190999e-52	2.3829790107453e-49	UP	ENSG00000157456
ENSG00000131055	3.43330162345663	0.339159029555469	229.004509911588	9.82752996123785e-52	7.62112349096609e-49	UP	ENSG00000131055
ENSG00000198901	4.02106574099975	3.69064212148067	228.978123022894	9.95861687801514e-52	7.62502300908076e-49	UP	ENSG00000198901
ENSG00000123485	4.6736438393144	2.49271094793333	227.70688537363	1.88557287910043e-51	1.35779205132175e-48	UP	ENSG00000123485
ENSG00000087586	3.40723004498779	3.64386703740777	226.917600448633	2.80273388632379e-51	1.9264973558631e-48	UP	ENSG00000087586
ENSG00000111665	4.04845277006383	2.35968869508921	226.110606753699	4.20325034764855e-51	2.85669895537714e-48	UP	ENSG00000111665
ENSG00000090889	4.72222694422194	2.97502052774031	226.08691155969	4.25356588028059e-51	2.85877436629347e-48	UP	ENSG00000090889
ENSG00000080986	4.05663147705675	2.43590148366689	225.094457901978	7.00178480765905e-51	4.60352129832261e-48	UP	ENSG00000080986
ENSG00000117650	4.71063326915204	2.50050435231012	224.150005922243	1.12512032525158e-50	7.24002959934229e-48	UP	ENSG00000117650
ENSG00000165304	4.55569495700735	2.2910650458333	221.374567147024	4.53481520576463e-50	2.82785466150816e-47	UP	ENSG00000165304
ENSG00000142945	4.74746992082776	2.81827479924969	220.877775386452	5.81996122485215e-50	3.51187785924809e-47	UP	ENSG00000142945
ENSG00000066279	4.48302850057006	3.78141299374609	220.862777058011	5.86396746105106e-50	3.51187785924809e-47	UP	ENSG00000066279
ENSG00000117399	5.0864980420738	3.70893249458968	219.903848423475	9.49197797986282e-50	5.41651664194285e-47	UP	ENSG00000117399
ENSG00000106462	3.12193778151373	3.05069703988621	219.102921767779	1.41925687202957e-49	8.02317847432943e-47	UP	ENSG00000106462
ENSG00000109805	4.55620373724153	2.76650998612462	218.728053166639	1.71329128960598e-49	9.42123304778968e-47	UP	ENSG00000109805
ENSG00000183763	3.53829517530825	1.3687152842415	218.320840788724	2.10211889516932e-49	1.13529435474109e-46	UP	ENSG00000183763
