Accession,Gene Name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Abundances A1,Abundances A2,Abundances A3,Abundances B1,Abundances B2,Abundances B3,Fold Change,p-value
Q6IME9,Krt72,"Keratin, type II cytoskeletal 72 OS=Mus musculus OX=10090 GN=Krt72 PE=3 SV=1",3.461538462,2,4,1,520,56.715,7.4,37.4,40.6,34.8,127.3,215.7,144.1,4.318262411,0.010072918
P27005,S100a8,Protein S100-A8 OS=Mus musculus OX=10090 GN=S100a8 PE=1 SV=3,57.30337079,3,18,3,89,10.288,5.68,38.4,41.6,37.4,138.8,176.1,167.8,4.111584327,0.00043188
Q6IFX2,Krt42,"Keratin, type I cytoskeletal 42 OS=Mus musculus OX=10090 GN=Krt42 PE=1 SV=1",17.25663717,10,25,1,452,50.102,5.16,38.1,52,37.1,128.2,186.2,158.5,3.717767296,0.002710827
P05367,Saa2,Serum amyloid A-2 protein OS=Mus musculus OX=10090 GN=Saa2 PE=1 SV=1,7.37704918,1,1,1,122,13.613,6.93,42.5,44,44.8,145.5,161.7,161.4,3.568926123,3.12795E-05
P07361,Orm2,Alpha-1-acid glycoprotein 2 OS=Mus musculus OX=10090 GN=Orm2 PE=1 SV=1,24.15458937,5,28,3,207,23.828,5.45,48.1,44.4,46.1,149.9,144.2,167.3,3.329004329,0.000106251
P61264,Stx1b,Syntaxin-1B OS=Mus musculus OX=10090 GN=Stx1b PE=1 SV=1,5.555555556,1,2,1,288,33.224,5.38,60.4,39,43.2,138.9,164.4,154.1,3.207573633,0.000445789
Q5NCH9,Grm6,Metabotropic glutamate receptor 6 OS=Mus musculus OX=10090 GN=Grm6 PE=1 SV=1,1.836969001,1,1,1,871,95.132,7.62,46.7,58.9,47.5,133,164.7,149.1,2.918354017,0.000601544
P70124,Serpinb5,Serpin B5 OS=Mus musculus OX=10090 GN=Serpinb5 PE=1 SV=1,8,3,3,3,375,42.085,5.77,52.2,50.5,54.3,129.2,159.6,154.3,2.822292994,0.000540231
P51437,Camp,Cathelicidin antimicrobial peptide OS=Mus musculus OX=10090 GN=Camp PE=1 SV=2,36.04651163,3,5,3,172,19.441,8.68,52.9,54.3,52,135.7,162.6,142.5,2.768844221,0.000317294
P31725,S100a9,Protein S100-A9 OS=Mus musculus OX=10090 GN=S100a9 PE=1 SV=3,45.13274336,6,32,6,113,13.04,7.17,53.6,55.9,50.4,138.9,145.3,155.9,2.752345216,5.67923E-05
